Fecha	Comportamiento de la accion	Punto Medio High Low
2021-09-30	BAJA	26.930053999999927
2021-10-01	BAJA	26.614990499999976
2021-10-04	BAJA	51.86999500000002
2021-10-05	SUBE	29.135009500000024
2021-10-06	SUBE	32.85998549999999
2021-10-07	SUBE	21.344970500000045
2021-10-08	BAJA	16.614990499999976
2021-10-11	BAJA	27.244995000000017
2021-10-12	BAJA	15.625
2021-10-13	SUBE	13.64489750000007
2021-10-14	BAJA	10.910034499999938
2021-10-15	SUBE	53.20996100000002
2021-10-18	SUBE	32.03491200000008
2021-10-19	SUBE	16.344970500000045
2021-10-20	BAJA	31.244995000000017
2021-10-21	SUBE	18.640014500000007
2021-10-22	BAJA	49.27001949999999
2021-10-25	BAJA	25.050048999999944
2021-10-26	SUBE	36.070068499999934
2021-10-27	SUBE	32.77502449999997
2021-10-28	SUBE	46.5
2021-10-29	SUBE	50.75
2021-11-01	BAJA	41.92004350000002
2021-11-02	BAJA	23.785033999999996
2021-11-03	SUBE	48.699951000000056
2021-11-04	SUBE	66.81494150000003
2021-11-05	SUBE	44.635009999999966
2021-11-08	BAJA	45.569946500000015
2021-11-09	SUBE	46.17004399999996
2021-11-10	BAJA	71.17993150000007
2021-11-11	BAJA	37.885009500000024
2021-11-12	SUBE	46.83996550000006
2021-11-15	SUBE	34.03491200000008
2021-11-16	SUBE	25.675048999999944
2021-11-17	BAJA	20.949951000000056
2021-11-18	SUBE	71.59997550000003
2021-11-19	BAJA	43.21496550000006
2021-11-22	BAJA	72.97998050000001
2021-11-23	BAJA	46.67004399999996
2021-11-24	SUBE	38.39489750000007
2021-11-26	BAJA	64.67504899999994
2021-11-29	SUBE	32.25
2021-11-30	BAJA	46.88000499999998
2021-12-01	BAJA	59.13989250000009
2021-12-02	BAJA	34.47497550000003
2021-12-03	BAJA	65.63500950000002
2021-12-06	SUBE	67.6099855
2021-12-07	SUBE	41.65002449999997
2021-12-08	SUBE	24.29504399999996
2021-12-09	BAJA	28.299927000000025
2021-12-10	BAJA	54.27001949999999
2021-12-13	BAJA	29.699951000000056
2021-12-14	SUBE	30.589965500000062
2021-12-15	SUBE	84.05004899999994
2021-12-16	BAJA	60.055053499999985
2021-12-17	SUBE	52.84997550000003
2021-12-20	SUBE	22.744995000000017
2021-12-21	SUBE	50.69006349999995
2021-12-22	SUBE	35.49499500000002
2021-12-23	SUBE	18.25
2021-12-27	BAJA	37.27502400000003
2021-12-28	SUBE	30.405029499999955
2021-12-29	BAJA	26.114990000000034
2021-12-30	BAJA	23.64001499999995
2021-12-31	BAJA	27.91503899999998
2022-01-03	SUBE	45.430053499999985
2022-01-04	BAJA	50.50500499999998
2022-01-05	BAJA	27.695067999999992
2022-01-06	BAJA	28.630004999999983
2022-01-07	BAJA	32.125
2022-01-10	SUBE	53.56994600000007
2022-01-11	SUBE	56.48498549999999
2022-01-12	BAJA	24.609985499999993
2022-01-13	BAJA	51.30493200000001
2022-01-14	SUBE	24.494995000000017
2022-01-18	BAJA	20.699951000000056
2022-01-19	BAJA	30.0
2022-01-20	BAJA	66.48999000000003
2022-01-21	BAJA	88.29504399999996
2022-01-24	SUBE	95.92993150000007
2022-01-25	BAJA	54.550048999999944
2022-01-26	BAJA	78.66491700000006
2022-01-27	BAJA	48.93505849999997
2022-01-28	SUBE	60.68493650000005
2022-01-31	SUBE	60.59997550000003
2022-02-01	SUBE	40.804931500000066
2022-02-02	BAJA	62.114990000000034
2022-02-03	BAJA	59.14501949999999
2022-02-04	SUBE	105.92004399999996
2022-02-07	BAJA	54.410033999999996
2022-02-08	SUBE	62.42004399999996
2022-02-09	BAJA	35.844970500000045
2022-02-10	SUBE	29.66503899999998
2022-02-11	BAJA	62.660033999999996
2022-02-14	SUBE	67.9849855
2022-02-15	BAJA	33.694946500000015
2022-02-16	SUBE	40.99499549999996
2022-02-17	BAJA	58.489990000000034
2022-02-18	BAJA	46.06494150000003
2022-02-22	BAJA	44.969970500000045
2022-02-23	BAJA	71.11999500000002
2022-02-24	SUBE	122.48999000000003
2022-02-25	SUBE	47.76501450000001
2022-02-28	SUBE	36.0
2022-03-01	BAJA	41.219970500000045
2022-03-02	SUBE	42.49499500000002
2022-03-03	BAJA	70.72998050000001
2022-03-04	BAJA	40.430053499999985
2022-03-07	BAJA	86.77990750000004
2022-03-08	BAJA	71.27001949999999
2022-03-09	BAJA	34.219970500000045
2022-03-10	SUBE	46.96496550000006
2022-03-11	BAJA	43.06005849999997
2022-03-14	BAJA	65.660034
2022-03-15	SUBE	59.84997550000003
2022-03-16	SUBE	57.964966000000004
2022-03-17	SUBE	53.58496100000002
2022-03-18	SUBE	55.82995600000004
2022-03-21	SUBE	35.30993650000005
2022-03-22	SUBE	44.68005399999993
2022-03-23	BAJA	36.82995600000004
2022-03-24	BAJA	40.68505849999997
2022-03-25	SUBE	31.18505849999997
2022-03-28	SUBE	41.375
2022-03-29	BAJA	29.629883000000063
2022-03-30	BAJA	34.50500499999998
2022-03-31	BAJA	35.41491700000006
2022-04-01	BAJA	35.075072999999975
2022-04-04	SUBE	51.88989300000003
2022-04-05	BAJA	48.444946500000015
2022-04-06	BAJA	49.45495600000004
2022-04-07	BAJA	55.675048999999944
2022-04-08	BAJA	31.375
2022-04-11	BAJA	36.02001949999999
2022-04-12	BAJA	47.160033999999996
2022-04-13	SUBE	64.25
2022-04-14	BAJA	44.25
2022-04-18	SUBE	37.89001450000001
2022-04-19	SUBE	70.98498500000005
2022-04-20	BAJA	39.989990499999976
2022-04-21	BAJA	91.4849855
2022-04-22	BAJA	59.175048999999944
2022-04-25	SUBE	39.15002449999997
2022-04-26	BAJA	59.26501450000001
2022-04-27	BAJA	61.65002449999997
2022-04-28	SUBE	56.375
2022-04-29	BAJA	91.3599855
2022-05-02	SUBE	62.930053499999985
